PFA_Name,Year,Population,Area_Sq_Km,IMD_Score,Police_Count,Crime_Count,Alpha_i,Beta_i,Sigma_i,Spillover_Force,E_Prime_i
Gloucestershire,2023.0,655607.0000000112,2652.4500000000003,42.82169693450181,1301,34945.0,0.004282169693450181,0.13115319987556437,0.11710170519428939,240.37241733429767,216.25205998562075
Greater Manchester,2023.0,2954751.200000018,1276.12,64.06394920617097,8070,14.0,0.0064063949206170975,208.9319847020308,0.09409959303458676,570.2225565930906,373.93609467616557
Gwent,2023.0,596243.8000000035,1551.46,51.97845788460139,1516,37618.0,0.00519784578846014,0.18891369572081898,0.14990018819695802,234.71691671612584,-7727.914845730484
Hampshire and Isle of Wight,2023.0,2049514.600000007,4148.23,43.14797429022277,3362,90088.0,0.004314797429022277,0.07452239642607371,0.0874008040393226,235.05457259237372,9177.889075024688
Hertfordshire,2023.0,1221480.4000000097,1643.07,40.33497332322295,2400,54488.0,0.004033497332322295,0.19076018589551028,0.029487277238564685,796.5239324017487,-2484.289890506283
Humberside,2023.0,679893.6000000052,3442.83,55.26280387463456,2295,52104.0,0.005526280387463456,0.10863180902360292,0.0369440543837566,323.29626139448135,-3558.3452558896406
Kent,2023.0,1893216.6000000313,3738.35,55.51723561371496,4167,104661.0,0.005551723561371496,0.24775642122738856,0.11328466638127774,1131.3997282053572,3202.8192952487134
Lancashire,2023.0,1591756.8,3065.88,60.162611531893084,3567,110429.0,0.006016261153189309,0.1536582527922623,0.11102933626239057,376.98972191975787,7245.204684357748
Leicestershire,2023.0,1148520.000000015,2538.09,42.290760292721075,2267,50616.0,0.004229076029272107,0.07131593088695115,0.03421900509348746,242.2149516129486,666.5955147004707
Lincolnshire,2023.0,771989.4000000171,5937.35,59.016483508756906,1209,36068.0,0.005901648350875691,0.10395366698053667,0.055972632981138984,245.2546066385981,282.2278056127986
"London, City of",2023.0,12826.400000001304,2.88,31.666666666666668,987,2007.0,0.003166666666666667,5.821908499059582,0.10392566243293065,2878.325093011862,1581.213272172105
Merseyside,2023.0,1454752.4000000097,652.4000000000001,67.11468913562608,4152,81775.0,0.006711468913562608,0.1318052520841167,0.11586479764575924,300.41623754713385,-10570.969306998863
Metropolitan Police,2023.0,8958236.400000066,1569.55,58.95259528047169,34500,488244.0,0.005895259528047169,0.12245030082651888,0.04755964035731477,283.75578641589595,-2096.6272905679207
Norfolk,2023.0,926245.4000000097,5383.6900000000005,57.97262889600568,1899,39549.0,0.005797262889600569,0.10215391608359846,0.09268266651126425,183.3999312297738,-4522.568167486656
North Wales,2023.0,692915.8000000017,6153.49,51.97845788460139,1714,42268.0,0.00519784578846014,0.1021873612258505,0.08306468719691056,221.34792809709393,4394.892293896468
North Yorkshire,2023.0,830076.6000000089,8309.289999999999,39.403933797073634,1662,37733.0,0.003940393379707364,0.20383832283308367,0.11909125230974618,473.9550450471511,1678.8986227931691
Northamptonshire,2023.0,2340812.000000015,6701.4400000000005,49.80767916922867,1487,40396.0,0.004980767916922867,0.11115213745401539,0.06192713856900558,207.52073457363582,1542.6321692555443
Northumbria,2023.0,1484320.4000000171,5560.13,64.01796301740093,3796,103876.0,0.006401796301740093,0.12401497637340336,0.09835828127569135,192.61320460730488,6986.410911560692
Nottinghamshire,2023.0,1178088.0000000019,2159.45,53.07263995786478,2387,66989.0,0.005307263995786478,0.10840277520148625,0.09955960504763975,325.3808824735735,-3505.200603411503
South Wales,2023.0,1345592.600000009,2077.2799999999997,51.97845788460139,3499,69639.0,0.00519784578846014,0.14572891600831553,0.1089182367122207,164.67035350131147,5491.024491322102
South Yorkshire,2023.0,1408334.0000000186,1551.59,67.056185956853,2993,85915.0,0.0067056185956853006,0.11471019791218902,0.015613475774641972,438.65517479299854,-122.04138729777131
Staffordshire,2023.0,1159647.6000000052,2713.75,50.06831967597653,1985,58027.0,0.005006831967597654,0.08982026263311897,0.07129180540928623,391.0134027520436,-5797.69594386252
Suffolk,2023.0,1024596.6000000071,5061.04,51.6708943367096,1393,29769.0,0.00516708943367096,0.13530327152921565,0.14341576353873253,271.6055085334879,2765.480426442343
Surrey,2023.0,1230598.8000000156,1662.56,30.98171738979266,2289,43885.0,0.003098171738979266,0.2660058427668317,0.05701189552104819,917.0731235525508,2274.904107265195
Sussex,2023.0,1741277.0000000037,3782.5,49.99813447905561,3155,75985.0,0.004999813447905561,0.11600358087472414,0.09634856180752262,368.5745590691887,783.3370812429456
Thames Valley,2023.0,4295801.400000036,10435.39,36.4435697646696,4924,98061.0,0.00364435697646696,0.1003838080153479,0.03805537265928489,486.710011093865,801.3800131199287
Warwickshire,2023.0,616688.2000000104,1975.11,45.77359868463561,1118,25327.0,0.004577359868463561,0.15838532390742097,0.06773890014849437,379.4534627521878,105.61819096420483
West Mercia,2023.0,1135005.800000012,5228.22,49.66931616993597,2520,59080.0,0.004966931616993597,0.13029769339600716,0.18872224997297424,311.48249789989455,-22050.53659486323
West Midlands,2023.0,2987132.4000000358,901.63,66.66153194009041,7874,172502.0,0.006666153194009042,0.15012353760176742,0.11128989174520815,233.30285063478246,-5938.52548840547
West Yorkshire,2023.0,2401136.4000000283,2029.21,64.63197258961651,6062,164809.0,0.006463197258961651,0.11522596760766896,0.05099658930761067,345.0371579706758,-10200.580676110358
Wiltshire,2023.0,758875.6000000052,3485.5,43.84260120986505,1204,29527.0,0.004384260120986506,0.11487447731273925,0.06640834539986576,283.75962064838103,1664.0751113027704
Avon and Somerset,2024.0,1312930.9000000134,4666.95,41.86992184552263,3281,98607.0,0.004186992184552264,0.012422523874295257,0.10756321868221361,226.27207527592168,13500.796233781604
Bedfordshire,2024.0,743579.4000000134,1235.46,53.920716320716316,1455,31589.0,0.005392071632071632,0.11270797244535909,0.023083069937949785,239.2418713010644,-231.00231145740776
Cambridgeshire,2024.0,928911.8000000045,3389.6400000000003,45.85250240330455,1725,41969.0,0.004585250240330455,0.07024328355597532,0.0399661413812735,221.18132860606417,-2237.7236451984263
Cheshire,2024.0,1134051.8000000082,2346.16,49.520938645426355,2363,47003.0,0.004952093864542636,0.15422779505666748,0.13203885078594643,261.00376923554654,-4361.461989730997
