PFA_Name,Year,IMD_Score,Police_Count,Crime_Count,Alpha_i,B_i,Beta_i,Sigma_i,Spillover_Force,E_Prime_Monthly_Snapshot
Cumbria,2023,55.91788016232991,1376,21845.0,0.005591788016232991,37.77139377575917,0.19921290331960673,0.0816936031230837,435.2798397303985,1061.2122699324493
Derbyshire,2023,53.265624239958676,2131,63067.0,0.005326562423995868,220.21297330951765,0.13550024810836722,0.1102717057771467,391.17346823180725,2515.652934546618
Devon and Cornwall,2023,54.989900597778934,3642,42112.0,0.005498990059777894,163.31495969541695,0.06050083988265113,0.2675804628300053,273.6544021015165,-7573.469873346217
Dorset,2023,48.08856502242153,1430,35887.0,0.004808856502242153,96.94754213774026,0.14435937904432686,0.11395248665466114,281.1180899206407,2473.0877245719776
Durham,2023,65.66666666666667,1372,40062.0,0.006566666666666668,86.84336955529695,0.10219230370281668,0.0793845019966066,318.6675141179144,-2914.965289962473
Dyfed-Powys,2023,52.20054179830648,1303,25743.0,0.005220054179830649,-122.91405146279504,0.16177390602541164,0.16279059646281935,269.305435081004,3864.895533290796
Essex,2023,48.64249830130973,3747,82648.0,0.004864249830130973,72.37557302317497,0.2259824266428439,0.19798796535805316,858.8603591563441,9013.328666011024
Gloucestershire,2023,42.82169693450181,1301,34945.0,0.004282169693450181,42.16233161976392,0.12897551125041398,0.11710170519428939,245.09143992984139,-2619.5406085806317
Greater Manchester,2023,64.06394920617097,8070,0.0,0.0064063949206170975,3.8397616913486003,202.2465809243427,2.2360599915712482,570.2225565930906,566.382794901742
Gwent,2023,52.20054179830648,1516,37618.0,0.005220054179830649,186.4844471840418,0.17486000985820505,0.14990018819695802,236.05819170076552,145.32757141569238
Hampshire and Isle of Wight,2023,43.14797429022277,3362,90088.0,0.004314797429022277,83.53354567470907,0.07116184698124216,0.0874008040393226,235.05457259237372,-40.924288103618345
Hertfordshire,2023,40.33497332322295,2400,54488.0,0.004033497332322295,37.85724605394112,0.18833651126468753,0.029487277238564685,796.5239324017487,-1645.4034022883393
Humberside,2023,60.47984100121401,2295,52104.0,0.006047984100121402,156.1821916644088,0.10404378269508717,0.0369440543837566,323.29626139448135,-441.9836188132415
Kent,2023,55.51723561371496,4167,104661.0,0.005551723561371496,160.23958643985236,0.24156057132860823,0.11328466638127774,1131.3997282053572,-5339.359144063317
Lancashire,2023,60.162611531893084,3567,110429.0,0.006016261153189309,247.89348266999093,0.14394208081079068,0.11102933626239057,376.97178401398014,-7604.3022587751475
Leicestershire,2023,42.290760292721075,2267,50616.0,0.004229076029272107,94.34630517567017,0.06625688971017538,0.03421900509348746,242.2149516129486,-694.8269578938252
Lincolnshire,2023,59.016483508756906,1209,36068.0,0.005901648350875691,6.170106459921331,0.1044838753544705,0.055972632981138984,249.78508167931966,2370.2364956185074
"London, City of",2023,31.666666666666668,987,2007.0,0.003166666666666667,-10.35323780580318,5.826580288869396,0.10392566243293065,2878.325093011862,1463.9797687899909
Merseyside,2023,67.11468913562608,4152,81775.0,0.006711468913562608,86.80920287584352,0.1284986913747799,0.11586479764575924,300.3863410375043,5337.300783869121
Metropolitan Police,2023,58.95259528047169,34500,488244.0,0.005895259528047169,-532.0300826469731,0.12786376700132,0.04755964035731477,283.75578641589595,1224.6186847291906
Norfolk,2023,57.97262889600568,1899,39549.0,0.005797262889600569,44.378485007749006,0.0980935255019185,0.09268266651126425,183.3999312297738,-2362.67317230391
North Wales,2023,52.20054179830648,1714,42268.0,0.005220054179830649,39.414882043802464,0.09931177192905732,0.08306468719691056,222.62077135439654,2703.012515755026
North Yorkshire,2023,39.403933797073634,1662,37733.0,0.003940393379707364,21.511466912676028,0.20263481883720086,0.11909125230974618,477.8383093677695,-10461.670526427886
Northamptonshire,2023,49.80767916922867,1487,40396.0,0.004980767916922867,54.061242283396275,0.10727894886021784,0.06192713856900558,207.52073457363582,-2799.8566513156998
Northumbria,2023,64.01796301740093,3796,103876.0,0.006401796301740093,166.19246466187215,0.11780628997809597,0.09835828127569135,192.61320460730488,-20219.361605421727
Nottinghamshire,2023,53.07263995786478,2387,66989.0,0.005307263995786478,288.1638703126464,0.09557195592373902,0.09955960504763975,330.8174525224394,-12055.839051963547
South Wales,2023,52.20054179830648,3499,69639.0,0.005220054179830649,62.57861508334805,0.1434469679217934,0.1089182367122207,165.37392644412486,3742.851351891476
South Yorkshire,2023,67.056185956853,2993,85915.0,0.0067056185956853006,112.23170497215435,0.11177125037376924,0.015613475774641972,444.0917448418644,2090.8355360239025
Staffordshire,2023,50.06831967597653,1985,58027.0,0.005006831967597654,135.55710301201566,0.08066510374102262,0.07129180540928623,391.55453927751967,4069.8150323246055
Suffolk,2023,51.6708943367096,1393,29769.0,0.00516708943367096,32.43940204938999,0.13186007212934694,0.14341576353873253,271.6055085334879,990.6735544364922
Surrey,2023,30.98171738979266,2289,43885.0,0.003098171738979266,52.43496873594691,0.2626357017420531,0.05701189552104819,917.0731235525508,-3816.013048910553
Sussex,2023,49.99813447905561,3155,75985.0,0.004999813447905561,9.373352860919237,0.11550797550733216,0.09634856180752262,368.5745590691887,-13721.870344376763
Thames Valley,2023,36.4435697646696,4924,98061.0,0.00364435697646696,81.3097658959264,0.09682955411558135,0.03805537265928489,486.710011093865,92.8969572293907
Warwickshire,2023,45.77359868463561,1118,25327.0,0.004577359868463561,14.80638243259201,0.1566791460700531,0.06773890014849437,379.91729405973877,-1621.5195761633422
West Mercia,2023,50.21887933054138,2520,59080.0,0.005021887933054138,84.96231423357224,0.12646269435472066,0.18872224997297424,311.77572917140395,3484.9045262741543
West Midlands,2023,66.66153194009041,7874,172502.0,0.006666153194009042,27.54027048208951,0.14967106462430277,0.11128989174520815,234.38512368573473,21929.304382788545
